Name,Energy Type,Set Name,Set Code,Card Number,Card Type,HP,Attacks,Weakness,Retreat Cost,Illustrator,Flavor Text,Image URL,Rarity,Pack,Local Image Path
Weedle,Grass,Shining Revelry,A2b,1,Pokémon - Basic,50,"[{'name': 'Multiply', 'cost': ['G'], 'damage': '0', 'effect': 'Put 1 random Weedle from your deck onto your Bench.'}]",Fire,1,Akira Komayama,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_001_EN.webp,◊,,cards/shining-revelry/1.webp
Kakuna,Grass,Shining Revelry,A2b,2,Pokémon - Stage 1 - Evolves from Weedle,80,"[{'name': 'String Shot', 'cost': ['G'], 'damage': '20', 'effect': ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Fire,2,Yuka Morii,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_002_EN.webp,◊◊,,cards/shining-revelry/2.webp
Beedrill ex,Grass,Shining Revelry,A2b,3,Pokémon - Stage 2 - Evolves from Kakuna,170,"[{'name': 'Crushing Spear', 'cost': ['GG'], 'damage': '80', 'effect': ""Discard a random Energy from your opponent's Active Pokémon.""}]",Fire,1,PLANETA Igarashi,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_003_EN.webp,◊◊◊◊,,cards/shining-revelry/3.webp
Pinsir,Grass,Shining Revelry,A2b,4,Pokémon - Basic,90,"[{'name': 'Guillotine Rush', 'cost': ['GCC'], 'damage': '50+', 'effect': 'Flip a coin until you get tails. This attack does 40 more damage for each heads.'}]",Fire,2,Satoshi Shirai,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_004_EN.webp,◊,,cards/shining-revelry/4.webp
Sprigatito,Grass,Shining Revelry,A2b,5,Pokémon - Basic,60,"[{'name': 'Cry for Help', 'cost': ['G'], 'damage': '0', 'effect': 'Put 1 random [G] Pokémon from your deck into your hand.'}]",Fire,1,mashu,Its fluffy fur is similar in composition to plants. This Pokémon frequently washes its face to keep it from drying out.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_005_EN.webp,◊,,cards/shining-revelry/5.webp
Floragato,Grass,Shining Revelry,A2b,6,Pokémon - Stage 1 - Evolves from Sprigatito,90,"[{'name': 'Slash', 'cost': ['GG'], 'damage': '40', 'effect': ''}]",Fire,1,mashu,"Floragato deftly wields the vine hidden beneath its long fur, slamming the hard flower bud against its opponents.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_006_EN.webp,◊◊,,cards/shining-revelry/6.webp
Meowscarada,Grass,Shining Revelry,A2b,7,Pokémon - Stage 2 - Evolves from Floragato,140,"[{'name': 'Fighting Claws', 'cost': ['GG'], 'damage': '60+', 'effect': ""If your opponent's Active Pokémon is a Pokémon ex, this attack does 70 more damage.""}]",Fire,1,mashu,"This Pokémon uses the reflective fur lining its cape to camouflage the stem of its flower, creating the illusion that the flower is floating.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_007_EN.webp,◊◊◊,,cards/shining-revelry/7.webp
Charmander,Fire,Shining Revelry,A2b,8,Pokémon - Basic,60,"[{'name': 'Combustion', 'cost': ['R'], 'damage': '20', 'effect': ''}]",Water,1,Megumi Mizutani,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_008_EN.webp,◊,,cards/shining-revelry/8.webp
Charmeleon,Fire,Shining Revelry,A2b,9,Pokémon - Stage 1 - Evolves from Charmander,90,"[{'name': 'Combustion', 'cost': ['RR'], 'damage': '40', 'effect': ''}]",Water,2,kodama,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_009_EN.webp,◊◊,,cards/shining-revelry/9.webp
Charizard ex,Fire,Shining Revelry,A2b,10,Pokémon - Stage 2 - Evolves from Charmeleon,180,"[{'name': 'Stoke', 'cost': ['R'], 'damage': '0', 'effect': 'Take 3 [R] Energy from your Energy Zone and attach it to this Pokémon.'}, {'name': 'Steam Artillery', 'cost': ['RRRCC'], 'damage': '150', 'effect': ''}]",Water,3,PLANETA Igarashi,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_010_EN.webp,◊◊◊◊,,cards/shining-revelry/10.webp
Magmar,Fire,Shining Revelry,A2b,11,Pokémon - Basic,70,"[{'name': 'Flare', 'cost': ['R'], 'damage': '20', 'effect': ''}]",Water,1,Miki Tanaka,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_011_EN.webp,◊,,cards/shining-revelry/11.webp
Magmortar,Fire,Shining Revelry,A2b,12,Pokémon - Stage 1 - Evolves from Magmar,120,"[{'name': 'Smoke Bomb', 'cost': ['RRC'], 'damage': '70', 'effect': ""During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.""}]",Water,3,Miki Tanaka,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_012_EN.webp,◊◊◊,,cards/shining-revelry/12.webp
Paldean Tauros,Fire,Shining Revelry,A2b,13,Pokémon - Basic,110,"[{'name': 'Blaze Tackle', 'cost': ['RCC'], 'damage': '80', 'effect': 'This Pokémon also does 10 damage to itself.'}]",Water,2,Minahamu,"When heated by fire energy, its horns can get hotter than 1,800 degrees Fahrenheit. Those gored by them will suffer both wounds and burns.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_013_EN.webp,◊◊,,cards/shining-revelry/13.webp
Tentacool,Water,Shining Revelry,A2b,14,Pokémon - Basic,70,"[{'name': 'Rain Splash', 'cost': ['W'], 'damage': '10', 'effect': ''}]",Lightning,1,Shibuzoh.,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_014_EN.webp,◊,,cards/shining-revelry/14.webp
Tentacruel,Water,Shining Revelry,A2b,15,Pokémon - Stage 1 - Evolves from Tentacool,100,"[{'name': 'Wave Splash', 'cost': ['W'], 'damage': '40', 'effect': ''}]",Lightning,1,match,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_015_EN.webp,◊◊,,cards/shining-revelry/15.webp
Buizel,Water,Shining Revelry,A2b,16,Pokémon - Basic,70,"[{'name': 'Water Gun', 'cost': ['W'], 'damage': '10', 'effect': ''}]",Lightning,1,sui,"It inflates its flotation sac, keeping its face above water in order to watch for prey movement.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_016_EN.webp,◊,,cards/shining-revelry/16.webp
Floatzel,Water,Shining Revelry,A2b,17,Pokémon - Stage 1 - Evolves from Buizel,90,"[{'name': 'Water Arrow', 'cost': ['W'], 'damage': '0', 'effect': ""This attack does 30 damage to 1 of your opponent's Pokémon.""}]",Lightning,1,Kouki Saitou,"With its flotation sac inflated, it can carry people on its back. It deflates the sac before it dives.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_017_EN.webp,◊◊,,cards/shining-revelry/17.webp
Wiglett,Water,Shining Revelry,A2b,18,Pokémon - Basic,60,"[{'name': 'Spring Out', 'cost': ['W'], 'damage': '0', 'effect': ""1 of your opponent's Pokémon is chosen at random. Do 30 damage to it.""}]",Lightning,1,miki kudo,This Pokémon can pick up the scent of a Veluza just over 65 feet away and will hide itself in the sand.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_018_EN.webp,◊,,cards/shining-revelry/18.webp
Wugtrio ex,Water,Shining Revelry,A2b,19,Pokémon - Stage 1 - Evolves from Wiglett,140,"[{'name': 'Pop Out Throughout', 'cost': ['WWW'], 'damage': '0', 'effect': ""1 of your opponent's Pokémon is chosen at random 3 times. For each time a Pokémon was chosen, do 50 damage to it.""}]",Lightning,1,PLANETA Tsuji,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_019_EN.webp,◊◊◊◊,,cards/shining-revelry/19.webp
Dondozo,Water,Shining Revelry,A2b,20,Pokémon - Basic,120,"[{'name': 'Ocean Cyclone', 'cost': ['WWCC'], 'damage': '80', 'effect': ""This attack also does 10 damage to each of your opponent's Benched Pokémon.""}]",Lightning,3,Tomowaka,"This Pokémon is a glutton, but it’s bad at getting food. It teams up with a Tatsugiri to catch prey.",https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_020_EN.webp,◊◊◊,,cards/shining-revelry/20.webp
Tatsugiri,Water,Shining Revelry,A2b,21,Pokémon - Basic,70,"[{'name': 'Rain Splash', 'cost': ['W'], 'damage': '20', 'effect': ''}]",Lightning,1,Tomowaka,This is a small dragon Pokémon. It lives inside the mouth of Dondozo to protect itself from enemies on the outside.,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_021_EN.webp,◊◊,,cards/shining-revelry/21.webp
Pikachu ex,Lightning,Shining Revelry,A2b,22,Pokémon - Basic,120,"[{'name': 'Thunderbolt', 'cost': ['LLL'], 'damage': '150', 'effect': 'Discard all Energy from this Pokémon.'}]",Fighting,1,PLANETA Igarashi,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A2b/A2b_022_EN.webp,◊◊◊◊,,cards/shining-revelry/22.webp
